episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,execution_time
1,230.0,20.0,508.5,9.4,13.11,0.63,0.28
2,233.0,17.0,413.48,12.49,17.04,0.75,0.34
3,232.0,18.0,648.53,9.0,12.9,0.42,0.29
4,233.0,17.0,679.42,13.32,13.67,0.35,0.3
5,246.0,4.0,546.05,11.1,13.46,0.67,0.22
6,226.0,24.0,656.78,11.72,12.49,0.61,0.24
7,216.0,34.0,594.73,15.12,12.47,0.15,0.28
8,249.0,1.0,424.18,33.96,10.56,0.68,0.26
9,212.0,38.0,527.36,14.12,13.59,0.42,0.28
10,242.0,8.0,648.85,8.75,11.87,0.69,0.26
