episode,ep_accepted_requests,ep_rejected_requests,avg_latency,avg_cost,avg_cpu_cluster_selected,gini,avg_power,execution_time
1,214.0,36.0,662.33,24.18,15.94,0.21,74.53,0.13
2,214.0,36.0,668.4,22.98,14.93,0.21,71.41,0.14
3,215.0,35.0,671.26,22.36,15.31,0.14,71.0,0.09
4,220.0,30.0,680.29,22.25,15.31,0.19,71.0,0.09
5,216.0,34.0,660.37,22.0,13.75,0.12,71.79,0.11
6,213.0,37.0,667.3,22.39,15.93,0.24,71.12,0.1
7,217.0,33.0,672.92,22.15,15.72,0.21,71.0,0.11
8,214.0,36.0,678.45,21.91,15.39,0.14,71.0,0.11
9,212.0,38.0,678.15,21.98,15.48,0.21,78.54,0.1
10,218.0,32.0,677.83,22.1,14.63,0.22,71.0,0.1
11,215.0,35.0,678.52,22.22,14.44,0.19,72.61,0.11
12,198.0,52.0,676.95,22.26,16.07,0.18,71.0,0.09
13,220.0,30.0,671.93,22.2,13.55,0.17,71.0,0.1
14,212.0,38.0,675.47,22.35,13.72,0.26,71.0,0.09
15,211.0,39.0,672.67,22.32,16.18,0.21,71.0,0.1
16,221.0,29.0,672.28,22.3,14.76,0.18,73.41,0.09
17,206.0,44.0,672.13,22.22,15.12,0.24,71.12,0.09
18,214.0,36.0,671.55,22.23,15.12,0.18,71.0,0.1
19,215.0,35.0,671.89,22.19,15.69,0.19,71.06,0.09
20,212.0,38.0,673.2,22.37,13.09,0.21,71.03,0.1
21,222.0,28.0,670.93,22.38,16.1,0.22,71.0,0.09
22,217.0,33.0,671.53,22.37,14.19,0.17,71.01,0.09
23,219.0,31.0,670.87,22.28,14.15,0.16,74.51,0.09
24,218.0,32.0,669.09,22.31,16.19,0.18,71.07,0.09
25,196.0,54.0,666.63,22.47,15.21,0.24,71.0,0.09
26,215.0,35.0,667.71,22.42,14.98,0.17,71.13,0.09
27,216.0,34.0,664.01,22.36,14.56,0.17,71.02,0.1
28,211.0,39.0,662.14,22.28,14.8,0.15,72.67,0.09
29,216.0,34.0,662.55,22.36,14.97,0.17,73.79,0.11
30,210.0,40.0,662.57,22.41,15.51,0.2,71.99,0.11
